Country,State/Province/Department,Zone/Region/Provincia,City/Canton/District/Municipality/Woreda/Municipio/Commune,Area/Towns/Village/Sector/Colonia/Kebele,Farm/Fazenda/MicroMill/CWS,1
Costa Rica,Alajuela,Valle Occidental/West Valley,Naranjo,Los Robles,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Naranjo,Lourdes,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Naranjo,Llano Bonito,,
Costa Rica,Alajuela,Valle Central/Central Valley,Alajuela,Sabanilla,,
Costa Rica,San Jose,Valle Central/Central Valley,Aserrí,Aserrí,,
Costa Rica,Alajuela,Valle Central/Central Valley,Alajuela,Cerro Turrucares,,
Costa Rica,Heredia,Valle Central/Central Valley,Heredia,San Rafael,,
Costa Rica,Heredia,Valle Central/Central Valley,Heredia,San Francisco,,
Costa Rica,San Jose,Tarrazu,Desamparados,Frailes,La Violeta,
Costa Rica,San Jose,Tarrazu,Leon Cortes,San Pablo,,
Costa Rica,San Jose,Tarrazu,Leon Cortes,Santa Rosa,,
Costa Rica,San Jose,Tarrazu,El Jardin,Quebradillas,,
Costa Rica,San Jose,Tarrazu,Tarrazu,San Marcos,El Rodeo,
Costa Rica,San Jose,Tarrazu,Leon Cortes,San Francisco,,
Costa Rica,San Jose,Tarrazu,Tarrazu,San Lorenzo,,
Costa Rica,San Jose,Tarrazu,Dota,Santa María,,
Costa Rica,San Jose,Tarrazu,Tarrazu,San Marcos,Canet,
Costa Rica,San Jose,Brunca/Chirripo,Pérez Zeledón,Cajón,Cedral,
Costa Rica,Alajuela,Valle Occidental/West Valley,Grecia,Cajon,,
Costa Rica,Alajuela,Valle Occidental/West Valley,San Ramón,Piedades,,
Costa Rica,Alajuela,Valle Central/Central Valley,Alajuela,Carrizal,,
Costa Rica,San Jose,Tarrazu,Dota,Copey,,
Costa Rica,San Jose,Tarrazu,Leon Cortes,Llano Bonito,,
Costa Rica,San Jose,Tarrazu,Leon Cortes,Santa Cruz,,
Costa Rica,San Jose,Tarrazu,Tarrazu,San Marcos,Alto Canet,
Costa Rica,San Jose,Brunca/Chirripo,Pérez Zeledón,San Carlos,,
Costa Rica,San Jose,Brunca/Chirripo,Tivas,Buena Vista,,
Costa Rica,San Jose,Brunca/Chirripo,Tivas,La Piedra,,
Costa Rica,San Jose,Brunca/Chirripo,Moravia,San Jerónimo,,
Costa Rica,Alajuela,Valle Occidental/West Valley,Naranjo,San Jerónimo,,
Indonesia,Aceh,Sumatera,,,,
Ecuador,Loja,,Gonzanama,,,
Burundi,Bururi,,Bururi,Kabumburi,,
Indonesia,Jawa Barat,Jawa,,,,
Indonesia,Bali,Lesser Sunda,,,,
Indonesia,Sulawesi Selatan,Sulawesi,,,,
Indonesia,Sulawesi Barat,Sulawesi,,,,
Indonesia,Jawa Timur,Jawa,,,,
Indonesia,Jambi,Sumatera,,,,
Indonesia,Nusa Tenggara Timur/NTT,Lesser Sunda,,,,
Mexico,Mexico,,Jilotepec,,,
Mexico,Veracruz,,Atzalan,axocuapan/san bartolo,,
Mexico,Oaxaca,,Eloxochitlán,,,
Mexico,Jalisco,,Cuautitlán de García Barragán,,,
Mexico,Puebla,,Huitzilan de Serdán,,,
Mexico,Guerrero,,Atoyac de Álvarez,El Edén,,
Mexico,Chiapas,,La Concordia,,,
Mexico,Chihuahua,,Aldama,,,
Mexico,Chiapas,,Ángel Albino Corzo,,,
Mexico,Veracruz,,Tlaltetela,,,
Mexico,Campeche,,Candelaria,,,
Mexico,Veracruz,,Cosautlán de Carvajal,,,
Mexico,Veracruz,,Totutla,,,
Mexico,Veracruz,,Coatepec,,,
Mexico,Guerrero,Costa Grande,,,,
Mexico,Veracruz,,Naolinco,,,
Mexico,Veracruz,,Ixtaczoquitlán,,,
Mexico,Oaxaca,,,Santa María Yucuhiti,,
Mexico,Oaxaca,,Guelatao de Juárez,,,
Mexico,Veracruz,,Huatusco,,,
Mexico,Veracruz,,Teocelo,,,
Mexico,Veracruz,,Ixhuatlán del Sureste,,,
Mexico,Veracruz,,Ixhuatlán del Café,,,
Mexico,Oaxaca,,La Reforma,,,
Mexico,Oaxaca,,Mazatlán,,,
Mexico,Chiapas,,Motozintla,,,
Mexico,Oaxaca,,Zongolica,,,
Mexico,Chiapas,,Teopisca,,,
Mexico,Oaxaca,,Mixtepec,,,
Mexico,Veracruz,,Emiliano Zapata,,,
Mexico,Oaxaca,,Pochutla,,,
Mexico,Oaxaca,,Putla Villa de Guerrero/Putla,,,
Mexico,Oaxaca,,San Agustín Loxicha,,,
Mexico,Mexico,,Temascaltepec,,,
Mexico,Oaxaca,,San Miguel del Puerto,,,
Mexico,Chiapas,,La Concordia,,,
Mexico,Oaxaca,,San Sebastián Tutla,,,
Mexico,Guerrero,,Acatepec,,,
Mexico,Oaxaca,,Santa Cruz Acatepec,,,
Mexico,Chiapas,,Siltepec,,,
Mexico,Oaxaca,,Santiago Nuyoó,,,
Mexico,Oaxaca,,Santa María Yucuhiti,,,
Mexico,Chiapas,,Tapachula,,,
Mexico,Chiapas,,Tenejapa,,,
Mexico,Puebla,,Tlacuilotepec,,,
Mexico,Veracruz,,Texhuacán,,,
Mexico,Chiapas,,Villa Corzo,,,
Mexico,Veracruz,,Xalapa,,,
Mexico,Mexico,,Xico,,,
Mexico,Puebla,,Xicotepec,,,
Mexico,Chiapas,,Las Margaritas,,,
Mexico,Guerrero,,Zihuatanejo de Azueta,,,
Mexico,Veracruz,,Zongolica,,,
Burundi,Karuzi,,Gihogazi,,,
Burundi,Kayanza,,Gahombo,,,
Burundi,Gitega,,Mutaho,,,
Burundi,Cibitoke,,Bwayi,,,
Burundi,Kayanza,,Kayanza,Kibingo,,
Burundi,Kayanza,,Kabarore,Kazibaziba,,
Burundi,Kayanza,,Gatara,,,
Burundi,Kayanza,,Matongo,Gwiri,,
Burundi,Kayanza,,Rango,,,
Burundi,Kirundo,,Kirundo,Mpanga,,
Burundi,Muramvya,,Bukeye,Munyinya,,
Burundi,Mwaro,,Kayokwe,,,
Burundi,Muyinga,,Butihinda,,,
Burundi,Muyinga,,Muyinga,Nzove,,
Burundi,Muyinga,,Gasorwe,,,
Burundi,Ngozi,,Busiga,,,
Burundi,Ngozi,,Tangara,,,
Burundi,Rumonge,,Buranbi,,,
Burundi,Rumonge,,Buyengoro,,,
Burundi,Ngozi,,Mwumba,Nkaka,,
Burundi,Ngozi,,Gashikanwa,,,
Burundi,Rutana,,Rutana,Gitaba,,
Burundi,Kayanza,,Businde,,,
Burundi,Kayanza,,Muruta,Buziraguhindwa,,
Burundi,Ngozi,,Nyamurenza,Kagoma,,
Burundi,Ngozi,,Nyamurenza,Kinyana,,
Burundi,Kayanza,,Kayanza,Kirema,,
Burundi,Bujumbura Rural,,,,,
Burundi,Kirundo,,Ntega,,,
Burundi,Kayanza,,Kayanza,Nemba,,
Burundi,Kayanza,,Kayanza,Yandaro,,
Burundi,Gitega,,Buraza,,,
Burundi,Gitega,,Bukirasazi,,,
Burundi,Kayanza,,Butaganzwa,,,
Burundi,Muyinga,,Gashoho,,,
Burundi,Gitega,,Gishubi,,,
Burundi,Muramvya,,Kiganda,,,
Burundi,Ngozi,,Marangara,,,
Burundi,Cibitoke,,Murwi,,,
Burundi,Kayanza,,Muhanga,,,
Burundi,Muyinga,,Mwakiro,,,
Burundi,Gitega,,Nyarusange,,,
Burundi,Mwaro,,Nyabihanga,,,
Burundi,Karuzi,,Shombo,,,
Burundi,Kirundo,,Vumbi,,,
Ecuador,Pichincha,,Quito,Guayllabamba,,
Ecuador,Zamora Chinchipe,,Chinchipe,,,
Ecuador,Imbabura,,Ibarra,,,
Ecuador,Chimborazo,,Pallatanga,,,
Ecuador,Loja,,Loja,,,
Ecuador,Loja,,Quilanga,,,
Ecuador,Loja,,Saraguro/Sarakuru,,,
Ecuador,Loja,,Sozoranga,,,
Ecuador,Pichincha,,Pedro Moncayo,,,
Ecuador,Zamora Chinchipe,,Zamora,,,
